Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,6/11/2025 19:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.73,0.84,115.7,5.264,121,78.1,80.2,6.66,135.2,7.471,0.06,120.5,1.11,5.41,78,NA,-72.9,22.913,5.314,38.10611,-91.45561,270.9,0,12,733.7
,,,STANDARD DEVIATION:,0.81,1.46,1.9,2.951,1.9,30.2,31,2.46,43.2,4.189,0,1.7,0.77,7.4,1,0.41,24.4,1.127,2.938,0.00002,0.00003,0.2,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23L100114,24D104465,22B101636,18F101461,22B101636,17D108766,17D108766,17D108766,20B120436,18F101461,22B101636,22B101636,23L100114,24D104465,22B101636,20B120436,20B120436,22B101636,18F101461,18F101544,18F101544,18F101544,18F101544,18F101544,18F101544
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PE RFU,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
6/9/2025,12:35:53,0,111 09,1.87,0.67,115.9,0.033,116.7,103.5,106.3,8.6,131.4,0.047,0.05,116.6,2.67,2.4,76,8.26,-101,24.698,0.053,38.1061,-91.45557,270.9,0,12,733.9
6/9/2025,12:35:54,0,111 09,0.35,0.18,118.8,0.076,119.5,106.3,109.2,8.83,133.2,0.108,0.06,119.5,1.33,2.9,78,8.26,-101.1,24.732,0.078,38.1061,-91.45557,270.9,0,12,733.8
6/9/2025,12:35:55,0,111 09,0.34,0.16,119,0.122,119.6,107.2,110.2,8.9,132.8,0.172,0.06,119.5,1.31,2.9,78,8.27,-101.6,24.753,0.208,38.1061,-91.45558,270.9,0,12,733.8
6/9/2025,12:35:56,0,111 09,0.35,0.21,118.9,0.262,119.5,108.5,111.5,9.01,131.3,0.371,0.06,119.5,1.23,2.87,78,8.29,-102.7,24.764,0.273,38.1061,-91.45559,270.9,0,12,733.8
6/9/2025,12:35:57,0,111 09,0.36,0.21,119,0.283,119.6,110,113,9.12,131.9,0.402,0.06,119.5,1.2,2.94,78,8.29,-102.9,24.771,0.275,38.10609,-91.4556,270.9,0,12,733.8
