KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,3/3/2025 20:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,5.39,4.33,21.86,17.33,44.9,2.732,73.7,72.5,72.9,9.24,161,3.886,0.03,72.6,1.31,1.32,15.19,39.24,47,NA,-93.6,5.048,2.742,38.89371,-91.73751,254.1,0,11.7,741.9
,,,STANDARD DEVIATION:,3.54,3.46,14.35,13.83,0.2,1.381,0.4,2.9,2.9,0.31,4.8,1.964,0,0.4,2.12,2.13,17.48,49.21,0,0.14,8.2,0.232,1.375,0.00001,0.00001,1,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,18F102214,24E102112,18F102214,24E102112,18D101260,17K104869,18D101260,17D108766,17D108766,17D108766,20B120436,17K104869,18D101260,18D101260,18F102214,18F102214,24E102112,24E102112,18D101260,20B120436,20B120436,18D101260,17K104869,17E100519,17E100519,17E100519,17E100519,17E100519,17E100519
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll RFU,Chlorophyll ug/L,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,BGA PE RFU,BGA PE ug/L,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
2/27/2025,12:24:31,0,440,1.03,0.6,4.17,2.39,45.4,0.024,73.5,79.2,79.6,10,150,0.035,0.03,72.4,-0.03,-0.03,0.19,-2.99,47,8.41,-111.6,5.424,0.018,38.89371,-91.73751,254.3,0,11.7,741.9
2/27/2025,12:24:32,0,440,1.07,0.59,4.32,2.36,45.4,0.025,73.6,78.9,79.4,9.97,150.4,0.035,0.03,72.5,0,0,0.77,-1.37,47,8.41,-111.2,5.434,0.038,38.89372,-91.73751,254,0,11.7,741.9
2/27/2025,12:24:33,0,440,1.18,0.67,4.76,2.69,45.4,0.052,73.6,78.7,79.2,9.94,150.7,0.074,0.03,72.5,-0.01,0,1.18,-0.21,47,8.4,-110.6,5.429,0.077,38.89371,-91.73751,253.8,0,11.7,741.9
2/27/2025,12:24:34,0,440,1.13,0.88,4.58,3.54,45.4,0.1,73.6,78.5,78.9,9.91,151.1,0.142,0.03,72.5,-0.05,-0.04,1.12,-0.37,47,8.39,-110.1,5.433,0.11,38.89371,-91.73751,253.7,0,11.7,741.9
2/27/2025,12:24:35,0,440,1.23,0.99,4.98,3.94,45.4,0.155,73.5,78.3,78.7,9.88,151.4,0.22,0.03,72.4,-0.06,-0.06,0.92,-0.93,47,8.38,-109.6,5.447,0.169,38.89371,-91.73751,253.7,0,11.7,742
2/27/2025,12:24:36,0,440,1.41,0.95,5.7,3.8,45.3,0.199,73.5,78,78.5,9.85,151.6,0.283,0.03,72.4,-0.02,-0.02,1.21,-0.11,47,8.37,-109.3,5.44,0.226,38.89371,-91.73752,253.5,0,11.7,742.1
2/27/2025,12:24:37,0,440,1.46,1.01,5.9,4.02,45.3,0.251,73.5,77.9,78.3,9.84,151.8,0.357,0.03,72.4,-0.01,-0.01,1.64,1.09,47,8.37,-109,5.428,0.272,38.89371,-91.73751,254,0,11.7,741.9
2/27/2025,12:24:38,0,440,1.46,1.05,5.93,4.21,45.3,0.279,73.5,77.8,78.2,9.82,152,0.396,0.03,72.4,-0.04,-0.04,2,2.11,47,8.36,-108.7,5.422,0.288,38.89371,-91.73751,254.1,0,11.7,742
2/27/2025,12:24:39,0,440,1.44,0.95,5.84,3.79,45.3,0.338,73.5,77.6,78,9.8,152.2,0.481,0.03,72.4,-0.03,-0.03,1.9,1.82,47,8.36,-108.5,5.41,0.355,38.89371,-91.73752,253.8,0,11.7,742
2/27/2025,12:24:40,0,440,1.45,0.94,5.87,3.76,45.4,0.405,73.6,77.3,77.7,9.77,152.3,0.576,0.03,72.5,-0.01,-0.01,1.75,1.41,47,8.35,-108.2,5.401,0.438,38.89371,-91.73752,253.6,0,11.7,742
2/27/2025,12:24:41,0,440,1.59,1.04,6.42,4.15,45.4,0.46,73.7,77.2,77.6,9.75,152.5,0.654,0.03,72.6,0.02,0.02,2.28,2.91,47,8.35,-107.9,5.396,0.476,38.89371,-91.73752,253.5,0,11.7,742
2/27/2025,12:24:42,0,440,1.69,1,6.84,3.99,45.4,0.488,73.7,77,77.4,9.74,152.7,0.695,0.03,72.6,0.02,0.02,2.28,2.9,47,8.35,-107.8,5.374,0.493,38.89371,-91.73752,253.3,0,11.7,742
2/27/2025,12:24:43,0,440,1.6,1.07,6.47,4.28,45.3,0.532,73.6,76.9,77.3,9.73,152.8,0.757,0.03,72.5,-0.01,0,1.78,1.49,47,8.34,-107.4,5.363,0.545,38.89371,-91.73751,253.3,0,11.7,742
2/27/2025,12:24:44,0,440,1.6,1.14,6.49,4.55,45.3,0.58,73.5,76.8,77.2,9.71,153,0.825,0.03,72.4,0.02,0.02,1.72,1.31,47,8.33,-106.9,5.373,0.599,38.89371,-91.73751,253.4,0,11.7,741.9
2/27/2025,12:24:45,0,440,1.75,1.15,7.1,4.59,45.2,0.608,73.4,76.7,77.1,9.7,153.1,0.865,0.03,72.3,0.03,0.03,1.74,1.37,47,8.33,-106.6,5.381,0.631,38.89371,-91.73751,253.4,0,11.7,741.9
2/27/2025,12:24:46,0,440,1.77,1.16,7.17,4.65,45.3,0.623,73.5,76.5,76.9,9.67,153.3,0.887,0.03,72.4,0,0,1.32,0.2,47,8.32,-106.3,5.383,0.62,38.89371,-91.73751,253.4,0,11.7,742
2/27/2025,12:24:47,0,440,1.89,1.22,7.66,4.86,45.2,0.642,73.4,76.4,76.8,9.65,153.4,0.913,0.03,72.4,-0.02,-0.01,1.22,-0.09,47,8.31,-106,5.379,0.656,38.89371,-91.73751,253.2,0,11.7,741.9
2/27/2025,12:24:48,0,440,2.02,1.42,8.2,5.67,45.2,0.694,73.4,76.2,76.6,9.64,153.6,0.987,0.03,72.3,0.01,0.02,1.73,1.33,47,8.31,-105.6,5.367,0.718,38.89372,-91.73751,253.1,0,11.7,741.9
2/27/2025,12:24:49,0,440,2.22,1.58,9.01,6.34,45.3,0.715,73.5,76.2,76.6,9.63,153.9,1.018,0.03,72.4,0.05,0.05,2.34,3.06,47,8.3,-105.3,5.358,0.727,38.89372,-91.73751,253,0,11.6,741.9
2/27/2025,12:24:50,0,440,2.53,1.72,10.24,6.88,45.2,0.752,73.5,76.1,76.5,9.63,154,1.069,0.03,72.4,0.04,0.05,3.07,5.13,47,8.3,-105,5.345,0.762,38.89372,-91.73751,253.1,0,11.6,741.9
2/27/2025,12:24:51,0,440,2.81,1.84,11.38,7.36,45.2,0.797,73.5,75.9,76.3,9.61,154.2,1.134,0.03,72.4,0.07,0.08,3.78,7.12,47,8.29,-104.7,5.321,0.826,38.89372,-91.73751,253.2,0,11.6,741.9
2/27/2025,12:24:52,0,440,2.86,1.97,11.6,7.89,45.2,0.916,73.5,75.8,76.2,9.6,154.6,1.303,0.03,72.4,0.11,0.12,4.37,8.77,47,8.28,-104.3,5.307,0.934,38.89372,-91.73751,253.4,0,11.6,741.9
2/27/2025,12:24:53,0,440,2.96,1.95,11.98,7.78,45.2,0.948,73.6,75.6,76,9.58,154.8,1.348,0.03,72.5,0.08,0.08,4.47,9.05,47,8.28,-103.9,5.298,0.951,38.89372,-91.73751,253.3,0,11.6,741.9
2/27/2025,12:24:54,0,440,2.99,2.01,12.11,8.03,45.2,0.976,73.6,75.6,76,9.57,155.1,1.388,0.03,72.5,0.08,0.08,4.81,10.01,47,8.27,-103.5,5.293,1.029,38.89372,-91.73751,253.3,0,11.6,742
2/27/2025,12:24:55,0,440,3.04,2.05,12.31,8.19,45.2,1.067,73.6,75.5,75.9,9.56,155.4,1.517,0.03,72.5,0.12,0.13,5.08,10.76,47,8.26,-103,5.292,1.095,38.89372,-91.73751,253.2,0,11.6,741.9
2/27/2025,12:24:56,0,440,3.15,2.11,12.76,8.45,45.2,1.147,73.5,75.4,75.8,9.55,155.6,1.631,0.03,72.4,0.14,0.15,5.1,10.82,47,8.26,-102.7,5.29,1.181,38.89372,-91.73751,253.2,0,11.6,741.9
2/27/2025,12:24:57,0,440,3.27,2.4,13.24,9.61,45.1,1.191,73.5,75.3,75.7,9.55,156.1,1.694,0.03,72.4,0.12,0.12,5.46,11.84,47,8.25,-102.2,5.285,1.206,38.89372,-91.73751,253.2,0,11.6,741.9
2/27/2025,12:24:58,0,440,3.3,2.45,13.39,9.78,45.1,1.247,73.3,75.2,75.6,9.53,156.4,1.774,0.03,72.3,0.12,0.12,4.91,10.29,47,8.24,-101.7,5.288,1.275,38.89372,-91.73751,253.1,0,11.6,741.9
2/27/2025,12:24:59,0,440,3.23,2.34,13.1,9.36,45.1,1.294,73.4,75.1,75.5,9.51,156.4,1.841,0.03,72.3,0.1,0.11,4.3,8.57,47,8.23,-101.4,5.299,1.316,38.89372,-91.73751,253.1,0,11.7,741.9
2/27/2025,12:25:00,0,440,3.33,2.43,13.5,9.72,45.2,1.321,73.5,74.9,75.3,9.5,156.5,1.879,0.03,72.4,0.07,0.07,5.2,11.12,47,8.23,-101.2,5.303,1.329,38.89372,-91.73751,253.3,0,11.7,742
2/27/2025,12:25:01,0,440,3.28,2.72,13.29,10.88,45.2,1.373,73.5,74.9,75.3,9.49,156.6,1.952,0.03,72.5,0.08,0.08,5.84,12.9,47,8.22,-100.8,5.299,1.376,38.89372,-91.73751,253.2,0,11.7,742
2/27/2025,12:25:02,0,440,3.23,2.63,13.1,10.5,45.2,1.405,73.6,74.8,75.2,9.48,156.8,1.999,0.03,72.5,0.06,0.06,5.58,12.19,47,8.22,-100.5,5.293,1.432,38.89372,-91.73752,253.2,0,11.7,742
2/27/2025,12:25:03,0,440,3.5,2.6,14.17,10.41,45.2,1.441,73.6,74.7,75.1,9.47,156.9,2.049,0.03,72.6,0.07,0.07,5.79,12.77,47,8.21,-100.2,5.282,1.444,38.89372,-91.73752,253.3,0,11.7,741.9
2/27/2025,12:25:04,0,440,3.56,2.68,14.42,10.74,45.2,1.462,73.7,74.7,75.1,9.47,157,2.079,0.03,72.6,0.09,0.09,5.79,12.76,47,8.21,-100,5.27,1.472,38.89372,-91.73752,253.4,0,11.7,741.9
2/27/2025,12:25:05,0,440,3.59,2.56,14.54,10.25,45.3,1.514,73.7,74.6,75,9.46,157.1,2.153,0.03,72.6,0.09,0.1,5.84,12.91,47,8.21,-99.8,5.266,1.517,38.89372,-91.73752,253.5,0,11.7,741.9
2/27/2025,12:25:06,0,440,3.82,2.81,15.49,11.24,45.3,1.549,73.8,74.5,74.9,9.45,157.3,2.204,0.03,72.7,0.09,0.09,6.38,14.43,47,8.2,-99.6,5.266,1.578,38.89372,-91.73752,253.4,0,11.7,742
2/27/2025,12:25:07,0,440,3.98,2.87,16.12,11.49,45.3,1.601,73.8,74.4,74.8,9.43,157.4,2.277,0.03,72.8,0.12,0.12,6.64,15.15,47,8.2,-99.4,5.251,1.613,38.89372,-91.73751,253.5,0,11.7,741.9
2/27/2025,12:25:08,0,440,3.97,3.33,16.1,13.31,45.3,1.618,73.8,74.2,74.6,9.42,157.5,2.301,0.03,72.8,0.14,0.14,8.09,19.25,47,8.19,-99.1,5.245,1.613,38.89372,-91.73751,253.7,0,11.7,741.9
2/27/2025,12:25:09,0,440,3.77,3.42,15.27,13.68,45.3,1.65,73.8,74.1,74.5,9.41,157.6,2.347,0.03,72.7,0.09,0.1,8.5,20.39,47,8.19,-99,5.251,1.66,38.89372,-91.73751,253.6,0,11.7,741.9
2/27/2025,12:25:10,0,440,4.01,2.64,16.25,10.56,45.3,1.693,73.7,74,74.4,9.39,157.7,2.408,0.03,72.7,0.11,0.12,7.13,16.55,47,8.19,-98.8,5.252,1.719,38.89372,-91.73751,253.9,0,11.7,741.9
2/27/2025,12:25:11,0,440,4.66,2.55,18.89,10.18,45.2,1.728,73.7,74,74.4,9.38,157.8,2.458,0.03,72.6,0.19,0.19,7.65,18,47,8.18,-98.6,5.248,1.733,38.89372,-91.73751,254,0,11.7,741.9
2/27/2025,12:25:12,0,440,4.3,2.64,17.45,10.56,45.2,1.741,73.7,73.9,74.3,9.38,158,2.477,0.03,72.6,0.18,0.18,7.98,18.93,47,8.18,-98.4,5.241,1.741,38.89372,-91.73751,253.9,0,11.7,741.9
2/27/2025,12:25:13,0,440,3.91,2.61,15.84,10.46,45.2,1.785,73.7,73.8,74.2,9.36,158.2,2.538,0.03,72.6,0.17,0.17,7.28,16.97,47,8.17,-98.1,5.211,1.8,38.89371,-91.73751,253.8,0,11.7,741.9
2/27/2025,12:25:14,0,440,3.98,2.69,16.15,10.74,45.2,1.834,73.7,73.8,74.2,9.37,158.3,2.608,0.03,72.7,0.15,0.15,7.25,16.87,47,8.17,-97.8,5.179,1.855,38.89371,-91.73751,253.7,0,11.7,741.9
2/27/2025,12:25:15,0,440,4,2.57,16.22,10.28,45,1.862,73.5,73.7,74.1,9.37,158.4,2.649,0.03,72.4,0.13,0.13,6.89,15.87,47,8.17,-97.6,5.168,1.867,38.89371,-91.73752,253.4,0,11.7,741.8
2/27/2025,12:25:16,0,440,3.91,2.49,15.83,9.96,44.8,1.874,73.3,73.7,74.1,9.37,158.6,2.666,0.03,72.2,0.11,0.11,6.4,14.49,47,8.17,-97.5,5.166,1.872,38.89371,-91.73752,253.2,0,11.7,741.9
2/27/2025,12:25:17,0,440,3.93,2.37,15.92,9.49,44.8,1.919,73.2,73.7,74.1,9.37,158.6,2.73,0.03,72.1,0.14,0.14,6.15,13.79,47,8.16,-97.4,5.168,1.938,38.89371,-91.73752,253.1,0,11.7,741.9
2/27/2025,12:25:18,0,440,3.79,2.58,15.36,10.31,44.8,1.975,73.2,73.6,74,9.36,158.7,2.81,0.03,72.1,0.17,0.17,6.76,15.49,47,8.16,-97.4,5.17,1.997,38.89371,-91.73752,253,0,11.7,741.9
